Strike Prices,Call Prices,Put Prices
4993.89990234375,3280.6987257297183,5318.739852332766
4993.99990234375,3280.7801448455466,5318.721271448593
4994.099902343751,3280.8615642152436,5318.702690818291
4994.199902343751,3280.9429838388032,5318.68411044185
4994.2999023437515,3281.024403716218,5318.665530319264
4994.399902343752,3281.105823847479,5318.646950450525
4994.499902343752,3281.1872442325803,5318.628370835627
4994.599902343753,3281.2686648715153,5318.60979147456
4994.699902343753,3281.3500857642766,5318.5912123673215
4994.799902343753,3281.4315069108548,5318.5726335139
4994.899902343754,3281.5129283112465,5318.554054914291
4994.999902343754,3281.5943499654413,5318.535476568485
4995.099902343754,3281.675771873432,5318.516898476475
4995.199902343755,3281.7571940352136,5318.498320638257
4995.299902343755,3281.8386164507774,5318.47974305382
4995.3999023437555,3281.920039120117,5318.461165723159
4995.499902343756,3282.001462043224,5318.442588646266
4995.599902343756,3282.082885220091,5318.424011823133
4995.699902343757,3282.164308650712,5318.405435253753
4995.799902343757,3282.245732335079,5318.38685893812
4995.899902343757,3282.327156273187,5318.368282876227
4995.999902343758,3282.408580465024,5318.349707068065
4996.099902343758,3282.4900049105863,5318.331131513627
4996.199902343758,3282.571429609867,5318.312556212906
4996.299902343759,3282.652854562858,5318.293981165896
4996.399902343759,3282.7342797695505,5318.27540637259
4996.4999023437595,3282.815705229939,5318.256831832978
4996.59990234376,3282.8971309440167,5318.238257547055
4996.69990234376,3282.978556911775,5318.219683514813
4996.799902343761,3283.0599831332083,5318.201109736245
4996.899902343761,3283.1414096083063,5318.182536211344
4996.999902343761,3283.222836337066,5318.163962940103
4997.099902343762,3283.304263319477,5318.145389922513
4997.199902343762,3283.385690555533,5318.12681715857
4997.299902343762,3283.467118045228,5318.108244648263
4997.399902343763,3283.548545788552,5318.089672391588
4997.499902343763,3283.6299737855,5318.071100388535
4997.5999023437635,3283.711402036065,5318.052528639098
4997.699902343764,3283.792830540238,5318.033957143272
4997.799902343764,3283.8742592980134,5318.015385901046
4997.899902343765,3283.9556883093837,5317.996814912416
4997.999902343765,3284.0371175743403,5317.978244177373
4998.099902343765,3284.1185470928767,5317.95967369591
4998.199902343766,3284.1999768649875,5317.94110346802
4998.299902343766,3284.2814068906628,5317.922533493695
4998.399902343766,3284.362837169897,5317.903963772928
4998.499902343767,3284.444267702681,5317.885394305712
4998.599902343767,3284.52569848901,5317.866825092042
4998.6999023437675,3284.6071295288766,5317.848256131907
4998.799902343768,3284.6885608222715,5317.829687425301
4998.899902343768,3284.76999236919,5317.811118972219
4998.999902343769,3284.851424169623,5317.792550772652
4999.099902343769,3284.932856223564,5317.773982826593
4999.199902343769,3285.014288531005,5317.755415134034
4999.29990234377,3285.09572109194,5317.736847694969
4999.39990234377,3285.1771539063607,5317.718280509389
4999.49990234377,3285.25858697426,5317.699713577288
4999.599902343771,3285.340020295632,5317.681146898659
4999.699902343771,3285.421453870469,5317.662580473496
4999.7999023437715,3285.502887698763,5317.64401430179
4999.899902343772,3285.5843217805063,5317.625448383533
4999.999902343772,3285.6657561156935,5317.606882718719
5000.099902343773,3285.747190704317,5317.588317307342
5000.199902343773,3285.828625546367,5317.569752149392
5000.299902343773,3285.91006064184,5317.551187244865
5000.399902343774,3285.991495990726,5317.532622593751
